"title","artist","link"
"Striding Male Nude (1950)","Alexander F Mitchell","https://collections.ed.ac.uk/art/record/21054?highlight=*:*"
"Untitled (1963)","Madelane Galloway","https://collections.ed.ac.uk/art/record/22005?highlight=*:*"
"Life Drawing (Male Nude Reclining on Front) (1962)","John Bellany","https://collections.ed.ac.uk/art/record/20763?highlight=*:*"
"South Frieze of the Parthenon Frieze (1836-1837)",NA,"https://collections.ed.ac.uk/art/record/20690?highlight=*:*"
"Empty Potato Field","Frances M. Walker","https://collections.ed.ac.uk/art/record/22693?highlight=*:*"
"Untitled (1946)","Eileen Bennett","https://collections.ed.ac.uk/art/record/21733?highlight=*:*"
"Still Life (Circa 1970)","Patrick J. Hickey","https://collections.ed.ac.uk/art/record/22606?highlight=*:*"
"Self Portrait (1965)","John Bellany","https://collections.ed.ac.uk/art/record/20740?highlight=*:*"
"Metope 9, south entablature, Parthenon (1837)",NA,"https://collections.ed.ac.uk/art/record/20645?highlight=*:*"
"Untitled (1989)","Joanne Leonie Milne","https://collections.ed.ac.uk/art/record/21562?highlight=*:*"
"Portrait of a Woman (1959)","William D. MacKay","https://collections.ed.ac.uk/art/record/22715?highlight=*:*"
"Seated Female Nude (1994-1995)","Nicholas Otter","https://collections.ed.ac.uk/art/record/21510?highlight=*:*"
"Untitled (2004)","Rebecca Firth","https://collections.ed.ac.uk/art/record/21818?highlight=*:*"
"Treasure on a Loch","John Brown","https://collections.ed.ac.uk/art/record/22603?highlight=*:*"
"Riders from South Frieze of the Parthenon (1836-1837)",NA,"https://collections.ed.ac.uk/art/record/20721?highlight=*:*"
"Figure of a river-god from west pediment",NA,"https://collections.ed.ac.uk/art/record/20633?highlight=*:*"
"Central Park in the Dark Some 40 Years Ago (1974-1976)","Eduardo Luigi Paolozzi KBE, RA","https://collections.ed.ac.uk/art/record/21000?highlight=*:*"
"Preparatory sketch for main composition (1960)","Marjory Dickson","https://collections.ed.ac.uk/art/record/53529?highlight=*:*"
"Unknown","Nugent","https://collections.ed.ac.uk/art/record/50429?highlight=*:*"
"Cushendun (08 Apr 1968)","Unknown","https://collections.ed.ac.uk/art/record/21496?highlight=*:*"
"Untitled - Still Life with Flowers and Pitchers (1963)","Helen Wishart","https://collections.ed.ac.uk/art/record/99452?highlight=*:*"
"Untitled (12 Jun 2014)","Norman Orr","https://collections.ed.ac.uk/art/record/22479?highlight=*:*"
"Abstract Composition in Yellow (Circa 1972)","Charles K. S. Shaw","https://collections.ed.ac.uk/art/record/22599?highlight=*:*"
